Date,Open,High,Low,Close,AdjClose,Volume
01-01-1996,3.03,3.03,2.925,2.98,2.417746,350000.0
02-01-1996,2.98,3.025,2.95,2.975,2.413689,412000.0
03-01-1996,2.975,2.995,2.95,2.985,2.421803,284000.0
04-01-1996,2.985,2.98,2.94,2.965,2.405575,282000.0
05-01-1996,2.965,2.98,2.95,2.96,2.401519,189000.0
08-01-1996,2.96,2.95,2.91,2.925,2.373122,237000.0
09-01-1996,2.925,2.925,2.8,2.83,2.296047,483000.0
10-01-1996,2.83,2.865,2.81,2.84,2.30416,226000.0
11-01-1996,2.84,2.88,2.8,2.83,2.296047,318000.0
12-01-1996,2.83,2.835,2.8,2.825,2.291991,431000.0
15-01-1996,2.825,2.815,2.775,2.79,2.263594,181000.0
16-01-1996,2.79,2.8,2.74,2.74,2.223028,358000.0
17-01-1996,2.74,2.795,2.63,2.655,2.154066,429000.0
18-01-1996,2.655,2.655,2.6,2.64,2.141895,330000.0
19-01-1996,2.64,2.63,2.535,2.555,2.072933,426000.0
22-01-1996,2.555,2.59,2.52,2.545,2.06482,359000.0
23-01-1996,2.545,2.6,2.51,2.53,2.05265,399000.0
24-01-1996,2.53,2.53,2.45,2.465,1.999914,449000.0
25-01-1996,2.465,2.45,2.41,2.435,1.975574,390000.0
26-01-1996,2.435,2.435,2.435,2.435,1.975574,390375.0
29-01-1996,2.435,2.495,2.395,2.485,2.01614,311000.0
30-01-1996,2.485,2.55,2.485,2.52,2.044537,452000.0
31-01-1996,2.52,2.635,2.55,2.59,2.10133,344000.0
01-02-1996,2.59,2.8,2.6,2.78,2.25548,424000.0
02-02-1996,2.78,2.995,2.8,2.915,2.365009,819000.0
05-02-1996,2.915,3.1,2.95,2.995,2.429915,906000.0
06-02-1996,2.995,3.05,2.95,2.975,2.413689,888000.0
07-02-1996,2.975,2.925,2.825,2.865,2.324444,586000.0
08-02-1996,2.865,3.15,2.885,3.045,2.470482,667000.0
09-02-1996,3.045,3.655,3.35,3.65,2.961333,1720000.0
12-02-1996,3.65,3.795,3.45,3.51,2.847748,2851000.0
13-02-1996,3.6,3.6,3.325,3.45,2.799068,1451000.0
14-02-1996,3.45,3.8,3.59,3.71,3.010012,2464000.0
15-02-1996,3.71,3.77,3.67,3.685,2.989729,1191000.0
16-02-1996,3.685,3.675,3.51,3.56,2.888314,1396000.0
19-02-1996,3.56,3.65,3.5,3.515,2.851804,1297000.0
20-02-1996,3.515,3.515,3.305,3.365,2.730105,1361000.0
21-02-1996,3.365,3.365,3.365,3.365,2.730105,1039375.0
22-02-1996,3.365,3.475,3.4,3.425,2.778785,848000.0
23-02-1996,3.425,3.5,3.4,3.42,2.774728,687000.0
26-02-1996,3.42,3.475,3.375,3.385,2.746332,647000.0
